,username,reposted_username
86,Sanjeevpspk3,prime9news
2727,RusthumHere,Sanjeevpspk3
2728,WARMA007,Sanjeevpspk3
2729,PawanismNetwork,Sanjeevpspk3
2730,SupremePSPK,Sanjeevpspk3
2731,ItzRCCult,Sanjeevpspk3
2732,Scorpion_JSP,Sanjeevpspk3
2733,Legend_PSPK,Sanjeevpspk3
2735,TweetRamCharan,Sanjeevpspk3
2736,SandhyaSamayam,Sanjeevpspk3
2737,AmmuChowdaryM,Sanjeevpspk3
2738,venupro,Sanjeevpspk3
2739,JSPShatagniTeam,Sanjeevpspk3
2740,RRRamazing,Sanjeevpspk3
2741,Tejuholicc2,Sanjeevpspk3
2742,RodRaisar,Sanjeevpspk3
2743,kalyan__cult,Sanjeevpspk3
2746,LokEshDidS,Sanjeevpspk3
8646,Prime9ET,prime9news
8649,keathamreddy,prime9news
8650,jyothsna_tdp,prime9news
8653,JanaSenaParty,prime9news
8654,Narendra4JSP,prime9news
8655,drlaxmanbjp,prime9news
11168,prime9news,Mallika44952427
11169,prime9news,RamCharan389
11170,prime9news,Rameshamalakant
11171,prime9news,prabha0003
11172,prime9news,ArjunRam63733
11173,prime9news,SravanKumarGSK1
11175,prime9news,NarendraPushad1
11176,prime9news,saradhi_buddy
11178,prime9news,Cha_Run_Teja
11180,prime9news,PspkSheshank
11181,prime9news,________PSPK
11182,prime9news,iamravimortha
11183,prime9news,VenkatPawanism7
11184,prime9news,klvrajesh
11185,prime9news,RafiSk92529011
