username,reposted_username
passingbymars,jejenjreng
mahjoong,jejenjreng
vaniIIablue_,jejenjreng
ORGANICSPINES1,jejenjreng
hollo_ow,jejenjreng
saladhxkben,jejenjreng
Etex_Bonxsay,tempodotco
hakunamatchata,jejenjreng
sbntrsayasapa,madarkham
edy10031976,bukanhoaxxx
winddliner,jejenjreng
navynaveee,madarkham
vouymousz,madarkham
abrar_granny,madarkham
ltflrs,bukanhoaxxx
BahamasJefry,kompascom
moenandhard,bukanhoaxxx
Rere_REkanRamE,bukanhoaxxx
sukma_nugraha,kompascom
SigitWasito8,bukanhoaxxx
edy10031976,holopiscom
LordCitayem,bukanhoaxxx
yoedidharma,kompascom
TrilaksonoGatot,bukanhoaxxx
hilalmultibiz,__whiteenle
Binar_Senja_87,8angSaid
bigvirgoshit_,kompascom
Pribumituan,8angSaid
DaengKolombo,8angSaid
adimas_markum,bukanhoaxxx
dien_fakhrudin,detikcom
Ziantozi,kompascom
teguh_009,bukanhoaxxx
ririnmanaba,bukanhoaxxx
Ganjar_Mahfud03,tnmuda
AaweRaja,detikcom
JanwesMilan,kompascom
evand_7dragon,bukanhoaxxx
delapandua10486,kompascom
barckq,bukanhoaxxx
YareY4r3Daze,tempodotco
solidaritykorjp,ariel_heryanto
Diditramahendra,bukanhoaxxx
Ganjar_Mahfud03,Ganjar_Mahfud03
MeldaaMei29,aniesbaswedan
hendrilucky6,aniesbaswedan
firman__nurhuda,pinterpolitik
Lauralaura858,tnmuda
_Bakemono,tempodotco
lateefgouri,fadjroeL
JOINLampung,detikcom
YulianaSaraya,bukanhoaxxx
Jhonata41282812,bukanhoaxxx
gginanb,detikcom
ahsan_wahid,republikaonline
NJunawar,detikcom
Arif24838483,bukanhoaxxx
singolodra1945,kompascom
agusmuk,Aryprasetyo85
nasaktion2,tempodotco
wbintoro101209,kompascom
rembol313,bukanhoaxxx
Qistinaqqhi,kompascom
KKKimsu,tempodotco
fadhli_ilyas,kompascom
Oedjhie2,detikcom
zainala66,kompascom
GimbalIswanto,indopos_id
PejuangKeluar15,8angSaid
rezalisni,tempodotco
Doddy19714254,detikcom
isthiswandy,kompascom
Hegie_bae,monitordaycom
gusdureen,republikaonline
3pHay,kompascom
m_natsirdmokrat,kompascom
didienAZHAR,tempodotco
WidiaWitje,bukanhoaxxx
Rikoharianto8,Metro_TV
didienAZHAR,netrayID
DoddyIl,Metro_TV
bengkeldodo,bengkeldodo
agpanka,KATADATAcoid
FaGtng,tempodotco
SasongkoInda,detikcom
Call_Me_Snake_,But1ran_Debu
Sanjeevpspk3,prime9news
tempodotco,tempodotco
NKRITetapDiHati,aewin86
AgustianaTian,cherforjo
iam_zelt,aewin86
Farm_1975,aewin86
samarchitect86,aewin86
Widiatis279,aewin86
MohammadKhafid3,Jurnalpatroli_
detikcom,detikjatengcom
Saliminbunyi_,aewin86
DMSFM_Ambon,dms_ambon
RenggaM37684672,aewin86
hendrikk168,aewin86
matamalukucom,dms_ambon
ariel_heryanto,EricssenWen
Info_Ambon1,dms_ambon
TransportasiRI,ThePhraseID
Politicx_,ElectoPanorama
