username,reposted_username
safiiimhmmd,temponewsroom
lebahtangkai,temponewsroom
SikkaNtt,kompascom
Ariansyah1222,Ariansyah1222
veraagustian_,HumasPoldaJatim
jauhar_fikri,Metro_TV
fxnetizen,tempodotco
totoksuyoto1,HumasPoldaJatim
vivi_mey,Metro_TV
ryolandafit,Metro_TV
rhyoz,tempodotco
kukuk4kikuk4ku,tempodotco
TeacherGodang,PDI_Perjuangan
ANDALASHUSNI,Metro_TV
akucintaistriku,Metro_TV
keepiin,tempodotco
baca_insights,Metro_TV
totoksuyoto1,PDI_Perjuangan
SatSetTasTes29,Metro_TV
Bims_D_Boy,Metro_TV
ryolandafit,Metro_TV
ryolandafit,Metro_TV
ryolandafit,Metro_TV
ryolandafit,Metro_TV
ryolandafit,Metro_TV
sosmed_ind,Metro_TV
LatifDodi49201,Metro_TV
ViralSejagat,KreatifsultanId
LatifDodi49201,Metro_TV
masdayenk91080,Metro_TV
StDoddyPrasety1,Metro_TV
P4nd4wa5,Metro_TV
zal_4d3k,tempodotco
akangroez,Metro_TV
jauhar_fikri,dpwpkbjabar
LembahArfak,temponewsroom
Seorangpejuang5,misserinaa88
ViralSejagat,KreatifsultanId
SigitKusumanto,Metro_TV
Doddy19714254,Metro_TV
labibbenn,rendy_ricardo
DoddyIl,Metro_TV
andycha_syreena,Metro_TV
NOTASLIMBOY,ARSIPAJA
lil_marya,Metro_TV
caknoef,DPP_PKB
Laodewuna2,Metro_TV
labaduru_mau,Metro_TV
aribowosasmito,aribowosasmito
aribowosasmito,aribowosasmito
hazim_khabir,kisp_id
pandji,rendy_ricardo
FajarSa43628084,Metro_TV
ichsan_wardana,Metro_TV
JakartaRayaEC,Metro_TV
just_cross,DPP_PKB
tempodotco,tempodotco
tempodotco,tempodotco
dodok_jogja,combineri
PopyLgs,Metro_TV
pandji,Taufiq_Uchiha
abdurarsyad,buildingpeace_
taufik_ipul,watchdoc_ID
choymarkochoy,Metro_TV
anothercelaine,BPPMEQuilibrium
SantaPradana,TajukPolitik
TxtdariAtjeh,acehstudies
pdemokratkotatg,TajukPolitik
adtyo08,Metro_TV
aribowosasmito,aribowosasmito
EmHasanuddin,Metro_TV
HaqAbdulGani,DKPP_RI
ishagshafeeg,lensaRTV
HaqAbdulGani,DKPP_RI
warta_desa,combineri
HaqAbdulGani,DKPP_RI
iloveaceh,acehstudies
iloveaceh,acehstudies
himaelmuntaha,kisp_id
ryolandafit,CNNIndonesia
MohammadKhafid3,Jurnalpatroli_
EndangSyam31,DPR_RI
BobbieTrussell,Moyne897
BobbieTrussell,Moyne897
BobbieTrussell,Moyne897
BobbieTrussell,Moyne897
BobbieTrussell,Moyne897
4DemocracyID,CNNIndonesia
bung_zulzaman,DKPP_RI
HaqAbdulGani,DKPP_RI
HaqAbdulGani,DKPP_RI
HaqAbdulGani,DKPP_RI
HaqAbdulGani,DKPP_RI
soecoeco,GreenpeaceID
RokiDlaw,kompascom
ajisektangen,kompascom
dipasarbelanja,kompascom
daningsiyu,kompascom
HaposanNaing8,kompascom
TiangAlit1010,kompascom
nnwa5393,SagunShahi
RareNft38350,saidkunang3
ujepkb,dpwpkbjabar
pld_sardina,dpwpkbjabar
helmi_stbd,kompascom
mumuk76,g_politik2024
SagunShahi,SagunShahi
SagunShahi,SagunShahi
perludem,Anfrel
johnreiner5,Anfrel
wijienarens,GreenpeaceID
DindaP1805,DiamTetap
