username,reposted_username
Inne2466,ZAEffendy
will_sancz,temponewsroom
jauhar_fikri,voiceofpkb
jauhar_fikri,voiceofpkb
jauhar_fikri,Metro_TV
anjaniriani28,anjaniriani28
Omega_6789,Metro_TV
ryolandafit,Metro_TV
wakekefriend,tempodotco
ryolandafit,Metro_TV
ryolandafit,Metro_TV
vivi_mey,Metro_TV
Dewilesta7,Dewilesta7
ryolandafit,Metro_TV
JalanPejuangan,korantempo
akangroez,Metro_TV
ryolandafit,tvOneNews
solidaritykorjp,ariel_heryanto
ryolandafit,Metro_TV
ryolandafit,Metro_TV
hasbul87909115,Metro_TV
ryolandafit,Metro_TV
ganiesarc,acechercher
yujiemmeetcute,acechercher
vouymousz,acechercher
yuujitaki,acechercher
YawanMul23956,Metro_TV
abaabilah1,Metro_TV
akucintaistriku,Metro_TV
NurRahman_NARS,Metro_TV
ANDALASHUSNI,Metro_TV
kristinhapsari7,SagunShahi
Reza_0505820,pinterpolitik
HeriFirdausas,voiceofpkb
AndiammuliaPd,Metro_TV
Reza_0505820,Metro_TV
ImamJumhuri,Metro_TV
Bims_D_Boy,Metro_TV
DadangSuhe99641,tempodotco
SatSetTasTes29,Metro_TV
AndiammuliaPd,Metro_TV
RangkikGaek,korantempo
Anang_ssanto,korantempo
ImamJumhuri,Metro_TV
P4nd4wa5,Metro_TV
sosmed_ind,Metro_TV
adimunandar_sby,Metro_TV
LatifDodi49201,Metro_TV
an_mulyono,Metro_TV
StDoddyPrasety1,Metro_TV
AolaniRifki,NyataNyataKerja
masdayenk91080,Metro_TV
akucintaistriku,Metro_TV
LatifDodi49201,Metro_TV
SryAstuty917405,Metro_TV
ayahaddie,Metro_TV
Doddy19714254,Metro_TV
ayahaddie,Metro_TV
inginkubo,spoiledcherri
SigitKusumanto,Metro_TV
putri_harijita9,Metro_TV
Sahabat_BS,PraEquilibrium
andycha_syreena,Metro_TV
AndiantoPnjt,Metro_TV
Hegie_bae,monitordaycom
Kuturi_Sugata,NyataNyataKerja
BerlandGroup,Metro_TV
LukmanDwiYuliar,Metro_TV
JoncyJonacta,Metro_TV
Hegie_bae,monitordaycom
beraniadilhebat,korantempo
aqila_san21,aqila_san21
SayutiRaden2,Demokrat_TV
lil_marya,Metro_TV
BerlandGroup,Metro_TV
Laodewuna2,Metro_TV
FajarSa43628084,Metro_TV
choymarkochoy,Metro_TV
JinHaKyung_0828,CNNIndonesia
PopyLgs,Metro_TV
rahimsitorus,korantempo
pdemokratkotatg,TajukPolitik
ichsan_wardana,Metro_TV
EmHasanuddin,Metro_TV
putragaruda27,Metro_TV
adtyo08,Metro_TV
integrity160171,NyataNyataKerja
Rikoharianto8,Metro_TV
korantempo,korantempo
labaduru_mau,Metro_TV
wak_wei,ZAEffendy
JakartaRayaEC,Metro_TV
60far60pay,CrowDits
SantaPradana,TajukPolitik
Mmahalik2,pnugroho28
ryolandafit,CNNIndonesia
JinHaKyung_0828,CNNIndonesia
endoe21,CNNIndonesia
sekintangd99,sekintangd99
Moyne897,Moyne897
Moyne897,Moyne897
Moyne897,Moyne897
Moyne897,Moyne897
Moyne897,Moyne897
Moyne897,Moyne897
ZoneVenomWar,surupsrengenge
